lat,long,subbasin
44.4776,-80.0791,0a
44.4866,-80.0789,0a
44.4868,-80.0915,0a
44.487,-80.1042,0a
44.496,-80.1039,0a
44.4962,-80.1166,0a
44.4964,-80.1292,0a
44.5054,-80.1289,0a
44.5056,-80.1416,0a
44.5146,-80.1414,0a
44.5148,-80.154,0a
44.515,-80.1667,0a
44.5152,-80.1793,0a
44.5153,-80.192,0a
44.5155,-80.2046,0a
44.5246,-80.2044,0a
44.5247,-80.2171,0a
44.5337,-80.2168,0a
44.5339,-80.2295,0a
44.5341,-80.2421,0a
44.5343,-80.2548,0a
44.5344,-80.2675,0a
44.5346,-80.2801,0a
44.5348,-80.2928,0a
44.5438,-80.2926,0a
44.544,-80.3052,0a
44.5441,-80.3179,0a
44.5443,-80.3306,0a
44.5444,-80.3432,0a
44.5446,-80.3559,0a
44.5448,-80.3686,0a
44.5538,-80.3683,0a
44.5539,-80.381,0a
44.5541,-80.3937,0a
44.5631,-80.3935,0a
44.5633,-80.4061,0a
44.5723,-80.4059,0a
44.5725,-80.4186,0a
44.5726,-80.4313,0a
44.5816,-80.431,0a
44.5818,-80.4437,0a
44.5908,-80.4435,0a
44.591,-80.4562,0a
44.6,-80.456,0a
44.6001,-80.4687,0a
44.6003,-80.4813,0a
44.6004,-80.494,0a
44.6006,-80.5067,0a
44.6007,-80.5194,0a
44.6097,-80.5192,0a
44.6099,-80.5319,0a
44.61,-80.5445,0a
44.619,-80.5443,0a
44.6192,-80.557,0a
44.6193,-80.5697,0a
44.6283,-80.5695,0a
44.6285,-80.5822,0a
44.6375,-80.582,0a
44.6465,-80.5818,0a
44.6467,-80.5945,0a
44.6557,-80.5943,0a
44.6647,-80.5941,0a
44.6737,-80.594,0a
44.6828,-80.5938,0a
44.6918,-80.5936,0a
44.7008,-80.5934,0a
44.7098,-80.5932,0a
44.71,-80.6059,0a
44.719,-80.6057,0a
44.728,-80.6055,0a
44.7282,-80.6182,0a
44.7283,-80.631,0a
44.7284,-80.6437,0a
44.7285,-80.6564,0a
44.7287,-80.6691,0a
44.7288,-80.6818,0a
44.7289,-80.6945,0a
44.729,-80.7072,0a
44.7291,-80.7199,0a
44.7201,-80.7201,0a
44.7202,-80.7328,0a
44.7204,-80.7455,0a
44.7113,-80.7456,0a
44.7114,-80.7583,0a
44.7116,-80.771,0a
44.7025,-80.7712,0a
44.7026,-80.7839,0a
44.7028,-80.7966,0a
44.6937,-80.7968,0a
44.6938,-80.8095,0a
44.6848,-80.8096,0a
44.6758,-80.8098,0a
44.6759,-80.8225,0a
44.6669,-80.8226,0a
44.6578,-80.8228,0a
44.6579,-80.8355,0a
44.6489,-80.8356,0a
44.6399,-80.8358,0a
44.6309,-80.8359,0a
44.631,-80.8486,0a
44.6311,-80.8613,0a
44.6312,-80.874,0a
44.6221,-80.8741,0a
44.6222,-80.8868,0a
44.6132,-80.8869,0a
44.6133,-80.8996,0a
44.6043,-80.8997,0a
44.6044,-80.9124,0a
44.6134,-80.9123,0a
44.6224,-80.9122,0a
44.6223,-80.8995,0a
44.6314,-80.8993,0a
44.6404,-80.8992,0a
44.6494,-80.8991,0a
44.6585,-80.8989,0a
44.6584,-80.8862,0a
44.6674,-80.8861,0a
44.6764,-80.8859,0a
44.6854,-80.8858,0a
44.6945,-80.8857,0a
44.6944,-80.873,0a
44.7034,-80.8728,0a
44.7124,-80.8727,0a
44.7214,-80.8725,0a
44.7213,-80.8598,0a
44.7304,-80.8597,0a
44.7394,-80.8595,0a
44.7484,-80.8594,0a
44.7574,-80.8592,0a
44.7665,-80.8591,0a
44.7755,-80.859,0a
44.7845,-80.8588,0a
44.7936,-80.8587,0a
44.7937,-80.8714,0a
44.8027,-80.8712,0a
44.8028,-80.884,0a
44.8029,-80.8967,0a
44.803,-80.9094,0a
44.8031,-80.9221,0a
44.8032,-80.9349,0a
44.8122,-80.9347,0a
44.8123,-80.9475,0a
44.8124,-80.9602,0a
44.8125,-80.9729,0a
44.8126,-80.9856,0a
44.8127,-80.9984,0a
44.8036,-80.9985,0a
44.8037,-81.0112,0a
44.8038,-81.0239,0a
44.7948,-81.024,0a
44.7949,-81.0368,0a
44.7949,-81.0495,0a
44.7859,-81.0496,0a
44.786,-81.0623,0a
44.777,-81.0624,0a
44.7771,-81.0752,0a
44.768,-81.0753,0a
44.759,-81.0754,0a
44.7591,-81.0881,0a
44.7501,-81.0882,0a
44.7501,-81.1009,0a
44.7592,-81.1008,0a
44.7682,-81.1007,0a
44.7772,-81.1006,0a
44.7862,-81.1005,0a
44.7862,-81.0878,0a
44.7952,-81.0877,0a
44.7951,-81.0749,0a
44.8041,-81.0748,0a
44.8041,-81.0621,0a
44.8131,-81.062,0a
44.813,-81.0493,0a
44.822,-81.0491,0a
44.8219,-81.0364,0a
44.831,-81.0363,0a
44.8309,-81.0236,0a
44.8399,-81.0234,0a
44.8398,-81.0107,0a
44.8489,-81.0106,0a
44.8488,-80.9979,0a
44.8578,-80.9977,0a
44.8577,-80.985,0a
44.8667,-80.9849,0a
44.8758,-80.9847,0a
44.8848,-80.9846,0a
44.8938,-80.9845,0a
44.8939,-80.9972,0a
44.9029,-80.9971,0a
44.912,-80.997,0a
44.921,-80.9969,0a
