lat,long,subbasin
41.6373,-87.3034,0a
41.6463,-87.3034,0a
41.6462,-87.3155,0a
41.6462,-87.3275,0a
41.6461,-87.3396,0a
41.6461,-87.3516,0a
41.646,-87.3637,0a
41.646,-87.3757,0a
41.655,-87.3758,0a
41.6549,-87.3878,0a
41.6549,-87.3999,0a
41.6639,-87.4,0a
41.6638,-87.412,0a
41.6638,-87.4241,0a
41.6728,-87.4242,0a
41.6818,-87.4242,0a
41.6818,-87.4122,0a
41.6908,-87.4123,0a
41.6908,-87.4243,0a
41.6818,-87.4242,0a
41.6817,-87.4363,0a
41.6907,-87.4364,0a
41.6906,-87.4484,0a
41.6906,-87.4605,0a
41.6996,-87.4606,0a
41.6995,-87.4726,0a
41.7085,-87.4727,0a
41.7085,-87.4848,0a
41.7084,-87.4968,0a
41.7174,-87.4969,0a
41.7173,-87.509,0a
41.7263,-87.5091,0a
41.7263,-87.5211,0a
41.7353,-87.5212,0a
41.7443,-87.5213,0a
41.7533,-87.5214,0a
41.7623,-87.5215,0a
41.7713,-87.5216,0a
41.7712,-87.5337,0a
41.7802,-87.5337,0a
41.7802,-87.5458,0a
41.7892,-87.5459,0a
41.7891,-87.558,0a
41.7981,-87.5581,0a
41.798,-87.5702,0a
41.807,-87.5703,0a
41.8071,-87.5582,0a
41.8161,-87.5583,0a
41.816,-87.5704,0a
41.825,-87.5705,0a
41.834,-87.5706,0a
41.834,-87.5826,0a
41.843,-87.5827,0a
41.852,-87.5828,0a
41.8519,-87.5949,0a
41.8609,-87.595,0a
41.8699,-87.5951,0a
41.8789,-87.5952,0a
41.8879,-87.5953,0a
41.8969,-87.5954,0a
41.9059,-87.5955,0a
41.9149,-87.5956,0a
41.9148,-87.6077,0a
41.9238,-87.6078,0a
41.9328,-87.608,0a
41.9328,-87.6201,0a
41.9418,-87.6202,0a
41.9508,-87.6203,0a
41.9598,-87.6204,0a
41.9688,-87.6205,0a
41.9778,-87.6206,0a
41.9777,-87.6327,0a
41.9867,-87.6328,0a
41.9957,-87.6329,0a
41.9956,-87.645,0a
42.0046,-87.6451,0a
42.0136,-87.6452,0a
42.0226,-87.6454,0a
42.0225,-87.6575,0a
42.0315,-87.6576,0a
42.0405,-87.6577,0a
42.0495,-87.6578,0a
42.0585,-87.6579,0a
42.0676,-87.658,0a
42.0766,-87.6581,0a
42.0856,-87.6583,0a
42.0855,-87.6704,0a
42.0945,-87.6705,0a
42.0944,-87.6826,0a
42.1034,-87.6827,0a
42.1033,-87.6949,0a
42.1123,-87.695,0a
42.1122,-87.7071,0a
42.1212,-87.7073,0a
42.1211,-87.7194,0a
42.1301,-87.7195,0a
42.1391,-87.7196,0a
42.139,-87.7318,0a
42.1481,-87.7319,0a
42.148,-87.744,0a
42.157,-87.7442,0a
42.166,-87.7443,0a
42.1659,-87.7564,0a
42.1749,-87.7566,0a
42.1839,-87.7567,0a
42.1838,-87.7688,0a
42.1928,-87.769,0a
42.2018,-87.7691,0a
42.2017,-87.7812,0a
42.2107,-87.7814,0a
42.2197,-87.7815,0a
42.2287,-87.7816,0a
42.2286,-87.7938,0a
42.2376,-87.7939,0a
42.2466,-87.7941,0a
42.2556,-87.7942,0a
42.2555,-87.8064,0a
42.2645,-87.8065,0a
42.2735,-87.8066,0a
42.2825,-87.8068,0a
42.2824,-87.8189,0a
42.2914,-87.8191,0a
42.3004,-87.8192,0a
42.3094,-87.8193,0a
42.3184,-87.8195,0a
42.3274,-87.8196,0a
42.3364,-87.8197,0a
42.3454,-87.8199,0a
42.3544,-87.82,0a
42.3634,-87.8201,0a
42.3635,-87.808,0a
42.3725,-87.8081,0a
42.3815,-87.8082,0a
42.3905,-87.8084,0a
42.3906,-87.7962,0a
42.3996,-87.7963,0a
42.4087,-87.7964,0a
42.4177,-87.7966,0a
42.4267,-87.7967,0a
42.4357,-87.7968,0a
42.4358,-87.7846,0a
42.4448,-87.7848,0a
42.4538,-87.7849,0a
42.4628,-87.785,0a
42.4718,-87.7852,0a
42.4808,-87.7853,0a
42.4898,-87.7854,0a
42.4897,-87.7976,0a
42.4987,-87.7978,0a
42.5077,-87.7979,0a
42.5167,-87.798,0a
42.5257,-87.7982,0a
42.5347,-87.7983,0a
42.5437,-87.7984,0a
42.5527,-87.7986,0a
42.5617,-87.7987,0a
42.5616,-87.8109,0a
42.5706,-87.8111,0a
42.5707,-87.7988,0a
42.5797,-87.799,0a
42.5887,-87.7991,0a
42.5977,-87.7993,0a
42.6067,-87.7994,0a
42.6157,-87.7995,0a
42.6156,-87.8118,0a
42.6246,-87.8119,0a
42.6247,-87.7997,0a
42.6337,-87.7998,0a
42.6427,-87.7999,0a
42.6517,-87.8001,0a
42.6607,-87.8002,0a
42.6697,-87.8003,0a
42.6698,-87.7881,0a
42.6788,-87.7882,0a
42.6878,-87.7883,0a
42.6968,-87.7885,0a
42.6969,-87.7762,0a
42.7059,-87.7764,0a
42.7149,-87.7765,0a
42.7239,-87.7766,0a
42.7329,-87.7768,0a
42.7419,-87.7769,0a
42.7509,-87.777,0a
42.7599,-87.7772,0a
42.7689,-87.7773,0a
42.769,-87.765,0a
42.778,-87.7652,0a
42.7781,-87.7529,0a
42.7871,-87.753,0a
42.7961,-87.7531,0a
42.796,-87.7654,0a
42.805,-87.7655,0a
42.8049,-87.7778,0a
42.814,-87.7779,0a
42.8139,-87.7902,0a
42.8229,-87.7904,0a
42.8228,-87.8026,0a
42.8318,-87.8028,0a
42.8408,-87.8029,0a
42.8407,-87.8152,0a
42.8497,-87.8153,0a
42.8587,-87.8155,0a
42.8586,-87.8277,0a
42.8676,-87.8279,0a
42.8766,-87.828,0a
42.8765,-87.8403,0a
42.8855,-87.8404,0a
42.8945,-87.8406,0a
42.9035,-87.8407,0a
42.9125,-87.8409,0a
42.9215,-87.841,0a
42.9305,-87.8411,0a
42.9395,-87.8413,0a
42.9485,-87.8414,0a
42.9575,-87.8416,0a
42.9576,-87.8293,0a
42.9666,-87.8294,0a
42.9665,-87.8417,0a
42.9755,-87.8419,0a
42.9845,-87.842,0a
42.9844,-87.8543,0a
42.9934,-87.8545,0a
43.0024,-87.8546,0a
43.0023,-87.8669,0a
43.0022,-87.8792,0a
43.0112,-87.8794,0a
43.0202,-87.8795,0a
43.0201,-87.8918,0a
43.0291,-87.892,0a
43.0381,-87.8921,0a
43.0382,-87.8798,0a
43.0472,-87.88,0a
43.0562,-87.8801,0a
43.0563,-87.8678,0a
43.0653,-87.8679,0a
43.0743,-87.8681,0a
43.0744,-87.8558,0a
43.0834,-87.8559,0a
43.0924,-87.856,0a
43.1014,-87.8562,0a
43.1013,-87.8685,0a
43.1103,-87.8687,0a
43.1193,-87.8688,0a
43.1192,-87.8811,0a
43.1282,-87.8813,0a
43.1372,-87.8814,0a
43.1462,-87.8816,0a
43.1552,-87.8817,0a
43.1553,-87.8694,0a
43.1643,-87.8695,0a
43.1733,-87.8697,0a
43.1823,-87.8698,0a
43.1913,-87.87,0a
43.2003,-87.8701,0a
43.2002,-87.8825,0a
43.2092,-87.8826,0a
43.2182,-87.8828,0a
43.2181,-87.8951,0a
43.2271,-87.8953,0a
43.2361,-87.8954,0a
43.2451,-87.8956,0a
43.2541,-87.8957,0a
43.2631,-87.8959,0a
43.2721,-87.8961,0a
43.2811,-87.8962,0a
43.2901,-87.8964,0a
43.2902,-87.884,0a
43.2992,-87.8841,0a
43.3083,-87.8843,0a
43.3173,-87.8844,0a
