lat,long,subbasin
43.1861,-79.3646,0a
43.1951,-79.365,0a
43.1948,-79.3774,0a
43.1945,-79.3898,0a
43.2036,-79.3901,0a
43.2033,-79.4025,0a
43.203,-79.4149,0a
43.2028,-79.4273,0a
43.2025,-79.4397,0a
43.2022,-79.4521,0a
43.2019,-79.4645,0a
43.2017,-79.4768,0a
43.2014,-79.4892,0a
43.2011,-79.5016,0a
43.2008,-79.514,0a
43.2005,-79.5264,0a
43.2003,-79.5388,0a
43.2093,-79.5392,0a
43.209,-79.5516,0a
43.2087,-79.564,0a
43.2084,-79.5763,0a
43.2174,-79.5767,0a
43.2172,-79.5891,0a
43.2169,-79.6015,0a
43.2259,-79.6019,0a
43.2256,-79.6143,0a
43.2253,-79.6267,0a
43.225,-79.6391,0a
43.2247,-79.6515,0a
43.2337,-79.6519,0a
43.2334,-79.6643,0a
43.2331,-79.6767,0a
43.2328,-79.6891,0a
43.2419,-79.6895,0a
43.2416,-79.7019,0a
43.2413,-79.7143,0a
43.2503,-79.7147,0a
43.25,-79.7271,0a
43.2497,-79.7395,0a
43.2587,-79.7399,0a
43.2584,-79.7523,0a
43.2674,-79.7527,0a
43.2764,-79.7532,0a
43.2761,-79.7656,0a
43.2851,-79.766,0a
43.2942,-79.7664,0a
43.2939,-79.7788,0a
43.3029,-79.7792,0a
43.3119,-79.7797,0a
43.3116,-79.7921,0a
43.3206,-79.7925,0a
43.3296,-79.7929,0a
43.33,-79.7805,0a
43.3303,-79.7681,0a
43.3393,-79.7685,0a
43.3396,-79.7561,0a
43.3486,-79.7566,0a
43.3489,-79.7441,0a
43.3579,-79.7446,0a
43.3583,-79.7321,0a
43.3673,-79.7326,0a
43.3676,-79.7201,0a
43.3679,-79.7077,0a
43.3769,-79.7081,0a
43.3859,-79.7086,0a
43.3862,-79.6961,0a
43.3953,-79.6966,0a
43.4043,-79.697,0a
43.4046,-79.6845,0a
43.4136,-79.685,0a
43.4139,-79.6725,0a
43.4229,-79.6729,0a
43.432,-79.6734,0a
43.4323,-79.6609,0a
43.4413,-79.6613,0a
43.4416,-79.6489,0a
43.4506,-79.6493,0a
43.4509,-79.6369,0a
43.4599,-79.6373,0a
43.469,-79.6377,0a
43.4693,-79.6252,0a
43.4783,-79.6257,0a
43.4786,-79.6132,0a
43.4876,-79.6136,0a
43.4879,-79.6012,0a
43.4969,-79.6016,0a
43.4972,-79.5891,0a
43.5062,-79.5895,0a
43.5153,-79.5899,0a
43.5243,-79.5903,0a
43.5333,-79.5907,0a
43.5423,-79.5911,0a
43.5426,-79.5787,0a
43.5429,-79.5662,0a
43.5519,-79.5666,0a
43.5522,-79.5542,0a
43.5612,-79.5546,0a
43.5615,-79.5421,0a
43.5706,-79.5425,0a
43.5708,-79.53,0a
43.5799,-79.5304,0a
43.5889,-79.5308,0a
43.5892,-79.5184,0a
43.5895,-79.5059,0a
43.5898,-79.4934,0a
43.5988,-79.4938,0a
43.5991,-79.4813,0a
43.6081,-79.4817,0a
43.6084,-79.4693,0a
43.6174,-79.4696,0a
