lat,long,subbasin
42.3038,-82.7287,0a
42.3128,-82.7287,0a
42.3128,-82.7409,0a
42.3128,-82.7532,0a
42.3128,-82.7654,0a
42.3128,-82.7777,0a
42.3219,-82.7777,0a
42.3218,-82.7899,0a
42.3218,-82.8022,0a
42.3218,-82.8144,0a
42.3309,-82.8144,0a
42.3309,-82.8267,0a
42.3309,-82.8389,0a
42.3308,-82.8512,0a
42.3399,-82.8512,0a
42.3399,-82.8634,0a
42.3399,-82.8757,0a
42.3398,-82.8879,0a
42.3489,-82.8879,0a
42.3489,-82.9002,0a
42.3489,-82.9124,0a
42.3488,-82.9247,0a
42.3579,-82.9247,0a
42.3579,-82.937,0a
42.3669,-82.937,0a
42.3669,-82.9248,0a
42.376,-82.9248,0a
42.376,-82.9125,0a
42.3851,-82.9126,0a
42.3851,-82.9003,0a
42.3941,-82.9003,0a
42.3942,-82.8881,0a
42.4032,-82.8881,0a
42.4123,-82.8881,0a
42.4213,-82.8882,0a
42.4213,-82.8759,0a
42.4304,-82.8759,0a
42.4394,-82.8759,0a
42.4485,-82.876,0a
42.4576,-82.876,0a
42.4576,-82.8637,0a
42.4666,-82.8637,0a
42.4757,-82.8638,0a
42.4757,-82.876,0a
42.4847,-82.8761,0a
42.4938,-82.8761,0a
42.5028,-82.8761,0a
42.5119,-82.8761,0a
42.5209,-82.8762,0a
42.53,-82.8762,0a
42.539,-82.8762,0a
42.5391,-82.8639,0a
42.5481,-82.8639,0a
42.5481,-82.8516,0a
42.5572,-82.8517,0a
42.5572,-82.8394,0a
42.5662,-82.8394,0a
42.5753,-82.8394,0a
42.5753,-82.8271,0a
42.5753,-82.8148,0a
42.5844,-82.8148,0a
42.5844,-82.8025,0a
42.5844,-82.7903,0a
42.5753,-82.7902,0a
42.5753,-82.7779,0a
42.5844,-82.778,0a
42.5935,-82.778,0a
42.6025,-82.778,0a
42.6116,-82.778,0a
42.6116,-82.7903,0a
42.6206,-82.7903,0a
42.6206,-82.8026,0a
42.6297,-82.8026,0a
42.6296,-82.8149,0a
42.6387,-82.8149,0a
42.6387,-82.8026,0a
42.6478,-82.8026,0a
42.6568,-82.8027,0a
42.6659,-82.8027,0a
42.6659,-82.7904,0a
42.6659,-82.778,0a
42.6659,-82.7657,0a
42.6659,-82.7534,0a
42.6659,-82.7411,0a
42.675,-82.7411,0a
42.684,-82.7411,0a
42.684,-82.7288,0a
42.684,-82.7165,0a
42.6931,-82.7165,0a
42.6931,-82.7042,0a
42.6931,-82.6918,0a
42.7021,-82.6918,0a
