lat,long,subbasin
46.3983,-86.6627,0a
46.4073,-86.6625,0a
46.4163,-86.6623,0a
46.4253,-86.6621,0a
46.4343,-86.6619,0a
46.4345,-86.675,0a
46.4346,-86.688,0a
46.4347,-86.7011,0a
46.4349,-86.7142,0a
46.4439,-86.714,0a
46.444,-86.727,0a
46.453,-86.7268,0a
46.4531,-86.7399,0a
46.4621,-86.7397,0a
46.4622,-86.7528,0a
46.4712,-86.7526,0a
46.4714,-86.7657,0a
46.4715,-86.7788,0a
46.4716,-86.7918,0a
46.4626,-86.792,0a
46.4627,-86.8051,0a
46.4537,-86.8052,0a
46.4447,-86.8054,0a
46.4448,-86.8185,0a
46.4358,-86.8186,0a
46.436,-86.8317,0a
46.445,-86.8315,0a
46.4451,-86.8446,0a
46.4361,-86.8448,0a
46.4362,-86.8578,0a
46.4363,-86.8709,0a
46.4453,-86.8707,0a
46.4454,-86.8838,0a
46.4544,-86.8836,0a
46.4545,-86.8967,0a
46.4635,-86.8965,0a
46.4636,-86.9096,0a
46.4637,-86.9227,0a
46.4638,-86.9357,0a
46.4728,-86.9356,0a
46.473,-86.9486,0a
46.482,-86.9485,0a
46.491,-86.9483,0a
46.4911,-86.9614,0a
46.5001,-86.9613,0a
46.5091,-86.9611,0a
46.5092,-86.9742,0a
46.5182,-86.9741,0a
46.5272,-86.9739,0a
46.5273,-86.987,0a
46.5274,-87.0001,0a
46.5274,-87.0132,0a
46.5275,-87.0262,0a
46.5276,-87.0393,0a
46.5186,-87.0395,0a
46.5187,-87.0525,0a
46.5188,-87.0656,0a
46.5098,-87.0658,0a
46.5099,-87.0788,0a
46.51,-87.0919,0a
46.5101,-87.105,0a
46.5011,-87.1051,0a
46.5012,-87.1182,0a
46.4922,-87.1183,0a
46.4922,-87.1314,0a
46.4923,-87.1445,0a
46.4924,-87.1575,0a
46.5014,-87.1574,0a
46.5015,-87.1705,0a
46.5016,-87.1836,0a
46.4926,-87.1837,0a
46.4926,-87.1968,0a
46.4927,-87.2098,0a
46.4928,-87.2229,0a
46.4929,-87.236,0a
46.4838,-87.2361,0a
46.4839,-87.2492,0a
46.484,-87.2622,0a
46.4841,-87.2753,0a
46.4841,-87.2884,0a
46.4931,-87.2883,0a
46.4932,-87.3014,0a
46.4932,-87.3144,0a
46.4933,-87.3275,0a
46.4934,-87.3406,0a
46.5024,-87.3405,0a
46.5024,-87.3536,0a
46.5025,-87.3666,0a
46.5115,-87.3666,0a
46.5115,-87.3796,0a
46.5205,-87.3796,0a
46.5295,-87.3795,0a
46.5296,-87.3926,0a
46.5386,-87.3925,0a
46.5385,-87.3794,0a
46.5385,-87.3663,0a
46.5475,-87.3662,0a
46.5475,-87.3793,0a
46.5476,-87.3924,0a
46.5566,-87.3923,0a
46.5656,-87.3923,0a
46.5746,-87.3922,0a
46.5836,-87.3921,0a
46.5835,-87.379,0a
46.5925,-87.3789,0a
46.5926,-87.392,0a
46.5836,-87.3921,0a
46.5836,-87.4052,0a
46.5837,-87.4183,0a
46.5837,-87.4314,0a
46.5927,-87.4313,0a
46.5928,-87.4444,0a
46.6018,-87.4444,0a
46.6018,-87.4575,0a
46.6108,-87.4574,0a
46.6198,-87.4573,0a
46.6199,-87.4704,0a
46.6289,-87.4704,0a
46.6289,-87.4835,0a
46.6379,-87.4834,0a
46.638,-87.4965,0a
46.647,-87.4965,0a
46.647,-87.5096,0a
46.656,-87.5095,0a
46.665,-87.5095,0a
46.6651,-87.5226,0a
46.6741,-87.5225,0a
46.6831,-87.5225,0a
46.6831,-87.5356,0a
46.6921,-87.5356,0a
46.7011,-87.5355,0a
46.7011,-87.5486,0a
46.7101,-87.5486,0a
46.7102,-87.5617,0a
46.7192,-87.5617,0a
46.7192,-87.5748,0a
46.7282,-87.5747,0a
46.7372,-87.5747,0a
46.7372,-87.5878,0a
